Disease,병명
Fungal infection,진균 감염
Allergy,알레르기
GERD,역류성 식도염
Chronic cholestasis,만성 담즙 정체증
Drug Reaction,약물 반응
Peptic ulcer diseae,소화성 궤양 질환
AIDS,에이즈
Diabetes ,당뇨병
Gastroenteritis,위장염
Bronchial Asthma,기관지 천식
Hypertension ,고혈압
Migraine,편두통
Cervical spondylosis,경추 척추증
Paralysis (brain hemorrhage),마비 (뇌출혈)
Jaundice,황달
Malaria,말라리아
Chicken pox,수두
Dengue,뎅기열
Typhoid,장티푸스
hepatitis A,A형 간염
Hepatitis B,B형 간염
Hepatitis C,C형 간염
Hepatitis D,D형 간염
Hepatitis E,E형 간염
Alcoholic hepatitis,알코올성 간염
Tuberculosis,결핵
Common Cold,일반 감기
Pneumonia,폐렴
Dimorphic hemmorhoids(piles),이형성 치질 (치질)
Heart attack,심장마비
Varicose veins,정맥류
Hypothyroidism,갑상선 기능 저하증
Hyperthyroidism,갑상선 기능 항진증
Hypoglycemia,저혈당증
Osteoarthristis,골관절염
Arthritis,관절염
(vertigo) Paroymsal  Positional Vertigo,(현기증) 양성 발작성 체위 현기증
Acne,여드름
Urinary tract infection,요로 감염
Psoriasis,건선
Impetigo,농가진
hypertensive  disease,고혈압성 질환
diabetes,당뇨병
depressive disorder,우울증
coronary heart disease,관상 동맥 질환
pneumonia,폐렴
failure  heart congestive,울혈성 심부전
accident  cerebrovascular,뇌혈관 사고
asthma,천식
myocardial  infarction,심근 경색
hypercholesterolemia,고콜레스테롤혈증
infection,감염
infection  urinary tract,요로 감염
anemia,빈혈
chronic  obstructive airway disease,만성 폐쇄성 기도 질환
dementia,치매
insufficiency  renal,신부전
confusion,혼란
degenerative  polyarthritis,퇴행성 다발 관절염
hypothyroidism,갑상선 기능 저하증
anxiety  state,불안 상태
primary malignant neoplasm,원발성 악성 신생물
hiv infections,HIV 감염
cellulitis,봉와직염
gastroesophageal  reflux disease,위식도 역류 질환
sepsis (invertebrate),패혈증 (무척추동물)
deep  vein thrombosis,심부 정맥 혈전증
dehydration,탈수
neoplasm,신생물
embolism  pulmonary,폐 색전증
epilepsy,간질
cardiomyopathy,심근 병증
chronic  kidney failure,만성 신부전
carcinoma,암
hepatitis  C,C형 간염
peripheral  vascular disease,말초 혈관 질환
psychotic  disorder,정신병 장애
hyperlipidemia,고지혈증
bipolar  disorder,양극성 장애
obesity,비만
ischemia,허혈
cirrhosis,간경변
exanthema,발진
benign  prostatic hypertrophy,양성 전립선 비대증
kidney  failure acute,급성 신부전
mitral  valve insufficiency,승모판 폐쇄부전증
arthritis,관절염
bronchitis,기관지염
hemiparesis,반신 마비
osteoporosis,골다공증
transient  ischemic attack,일과성 허혈 발작
adenocarcinoma,선암
paranoia,편집증
pancreatitis,췌장염
incontinence,실금
paroxysmal  dyspnea,발작성 호흡 곤란
hernia,탈장
carcinoma prostate,전립선 암
edema  pulmonary,폐부종
lymphatic  diseases,림프 질환
stenosis  aortic valve,대동맥 판막 협착증
carcinoma breast,유방암
schizophrenia,조현병
diverticulitis,게실염
overload  fluid,체액 과부하
ulcer  peptic,소화성 궤양
osteomyelitis,골수염
gastritis,위염
bacteremia,균혈증
failure  kidney,신부전
sickle  cell anemia,낫적혈구 빈혈
failure  heart,심부전
upper  respiratory infection,상부 호흡기 감염
hepatitis,간염
hypertension  pulmonary,폐 고혈압
deglutition  disorder,연하 장애
gout,통풍
thrombocytopaenia,혈소판 감소증
hypoglycemia,저혈당증
pneumonia  aspiration,흡인성 폐렴
colitis,대장염
diverticulosis,게실증
suicide  attempt,자살 시도
Pneumocystis  carinii pneumonia,폐포자충 폐렴
hepatitis  B,B형 간염
parkinson  disease,파킨슨병
lymphoma,림프종
hyperglycemia,고혈당증
encephalopathy,뇌병증
tricuspid  valve insufficiency,삼첨판 폐쇄부전증
Alzheimer's  disease,알츠하이머병
oral  candidiasis,구강 칸디다증
neuropathy,신경병증
kidney  disease,신장 질환
fibroid  tumor,섬유종
glaucoma,녹내장
neoplasm  metastasis,전이성 신생물
carcinoma colon,결장암
ketoacidosis  diabetic,당뇨병 케톤산증
tonic-clonic seizures,강직-간대 발작
malignant  neoplasms,악성 종양
respiratory  failure,호흡 부전
melanoma,흑색종
gastroenteritis,위장염
carcinoma of lung,폐암
manic  disorder,조증 장애
personality  disorder,인격 장애
primary  carcinoma of the liver cells,원발성 간세포 암종
emphysema  pulmonary,폐기종
hemorrhoids,치질
spasm  bronchial,기관지 경련
aphasia,실어증
obesity  morbid,병적 비만
pyelonephritis,신우신염
endocarditis,심내막염
pericardial effusion body substance,심장막 삼출물
chronic  alcoholic intoxication,만성 알코올 중독
pneumothorax,기흉
delirium,섬망
neutropenia,호중구 감소증
hyperbilirubinemia,고빌리루빈혈증
influenza,독감
dependence,의존성
thrombus,혈전
cholecystitis,담낭염
hernia  hiatal,식도 열공 탈장
migraine  disorders,편두통 장애
pancytopenia,범혈구 감소증
biliary  calculus,담석
tachycardia  sinus,동성 빈맥
ileus,장폐색
adhesion,유착
delusion,망상
affect  labile,불안정한 정서
decubitus  ulcer,욕창
